LAMBDA,Lx,OBSID,dec,objid,ra,rad,redshift,type
70.28388000000001,2.2583800000000003e+43,0652010401,-6.0076327721053895,14402,0.7456653268649802,50.47668937567309,0.5392811,ext
22.520554999999998,2.62317e+42,0305751001,-0.02093684961050863,46673,1.224352597127563,77.83445670557727,0.2943499,ext
36.26529,5.48808e+42,0763780701,12.232869321429114,73969,1.5438819690276662,54.45055801226779,0.4945958,ext
26.151239999999998,0.0,0600540601,19.995305044703557,124208,1.6152282964663982,55.788203312150486,0.50555927,ext
29.293764000000003,2.95219e+42,0403760301,0.8167851819683991,26587,2.722693731029551,61.8750652457317,0.3993315,ext
20.14078,5.389220000000001e+42,0502860101,16.026740637273527,64790,4.75790525815637,52.25715252112515,0.538851,ext
36.250029999999995,1.42625e+43,0001930101,10.625786873602708,55188,6.678272244965682,52.768107252169116,0.51367587,ext
28.88188,0.0,0402750201,26.43437515115404,161639,7.741936034162848,56.91520683171731,0.5271992,ext
21.651022,9.60475e+42,0402750601,26.45274723143835,244828,7.813385787031734,61.86405470297416,0.46667936,ext
25.617314999999998,1.91171e+45,0084230201,9.220554170857184,16263,9.24389357947024,57.89694310733822,0.44624546,ext
20.995058,0.0,0203690101,0.6998107738443324,30797,9.825010279699113,84.91575139560368,0.26358044,ext
28.759840000000004,6.095490000000001e+43,0153030101,25.515690852489037,246814,10.12114181005785,53.42334027256399,0.57335687,ext
28.668309999999998,0.0,0600450701,33.168672342514625,102595,10.22936102709764,62.02348756460054,0.51288354,ext
20.995058,0.0,0600450701,33.23120069194479,116744,10.248177531006661,58.20226026722537,0.564897,ext
32.054916,1.45972e+43,0723802201,-9.339387097692127,70750,10.395499094899687,57.97659569631719,0.44558990000000004,ext
23.313814,2.9994800000000004e+42,0723802101,-9.166629623603752,58252,10.53651062547776,59.16734060776392,0.4326528,ext
31.582009999999997,6.34663e+42,0560192001,-1.660001166549674,34444,11.191331281616185,57.19606781663771,0.44598693,ext
20.949293,0.0,0560192001,-1.6281162467378032,89086,11.335348996080684,60.110251032600814,0.41585454,ext
43.541909999999994,0.0,0301450401,25.500681047049106,72732,13.74249995616543,54.11208212896241,0.5621441,ext
56.798485,2.7279500000000003e+43,0012440101,-1.4717103320760834,6172,13.97454735437458,60.73710245184003,0.40984884,ext
26.95975300000001,4.5791700000000003e+42,0203220101,26.6008015843992,29424,13.959587715123465,72.0139309417938,0.3780622,ext
24.137583,1.11113e+43,0012440101,-1.1661260408331822,138488,14.155163085057964,54.357544932447155,0.47965053,ext
22.87142,7.13041e+42,0742830148,0.09283533812569104,38945,15.712853314408154,69.27984550305979,0.34265646,ext
22.612085,3.8851e+43,0747390152,0.3605155706525592,23220,16.50577016412609,88.4683216569627,0.25040984,ext
20.38486,2.22567e+42,0762870601,1.2183839952843527,40398,16.746436129309643,67.27610192887283,0.35644737,ext
21.467962,1.29697e+43,0305920101,14.131249266536825,107804,16.904788257347132,53.48592562342418,0.51361537,ext
31.5515,2.999220000000001e+43,0747390134,-0.4834400377013795,10431,17.225908108076453,65.24394003440648,0.3713877,ext
20.796743,3.77849e+42,0723800301,33.13299005037908,178234,20.686999768442906,65.12102287635457,0.47726992,ext
22.078160999999998,2.01582e+42,0723800301,33.39299679604351,33287,20.788860346173294,96.05791431278448,0.28329387,ext
33.076996,2.5957300000000002e+42,0723800301,33.098186504848925,9328,20.91766553536536,100.10453981804659,0.26772812,ext
21.086588,1.65785e+43,0201090401,32.16545718238748,203510,21.246196560558985,59.900986519932076,0.5312014,ext
20.659449,8.06097e+43,0025541601,3.730593255316847,72505,21.099409930434998,65.71698741119008,0.3688178,ext
21.666276999999997,0.0,0201090401,32.234290316933304,37452,21.349870584479078,94.52988625892402,0.2843776,ext
24.656252,1.32781e+43,0600450301,29.205851715793376,209904,22.03500824468614,57.98800600582723,0.532633,ext
39.484085,1.8482400000000002e+43,0700180201,-8.42588640763148,42227,24.19713289417345,59.98060336146125,0.42324024,ext
27.676737,1.12689e+43,0505400101,6.421451228192048,85532,25.128540160468845,55.27426335049341,0.47232103,ext
43.892776,1.6197800000000005e+42,0747440140,-0.12323682915039025,10228,26.85275298318481,71.88685796343321,0.32634640000000004,ext
25.434256,1.20084e+43,0747440150,0.3405464012274102,53156,27.5103222712574,56.14000409049282,0.45773286,ext
36.05172,1.27213e+42,0761730401,-8.736511001113431,23958,27.99052502870159,59.83773633432463,0.42514956,ext
28.225915999999998,5.39067e+43,0748190101,5.5307300714719645,39572,28.98753893989908,53.11840894669757,0.49930465,ext
25.129156,0.0,0203980101,32.07950710113259,242760,29.163488139419087,59.72829846388521,0.5327451,ext
20.796743,1.51493e+43,0304160301,31.31749778513762,147682,30.162472004929327,66.49695604865542,0.4500535,ext
27.493677,0.0,0601740201,-7.0289270271176125,106444,30.30970211901917,49.15124769251236,0.56316966,ext
50.330376,4.690110000000001e+42,0605000301,-2.219153120455393,49303,30.37904951213277,50.09196351066407,0.5416328,ext
40.979073,2.26293e+43,0411980201,-7.580513529065709,42018,30.83536513245062,50.91783597624726,0.5349001999999999,ext
20.537409,3.3785300000000004e+44,0677681232,-7.414738664599082,188200,31.516408355281268,52.536164424149945,0.5102749,ext
21.940866,1.9437800000000001e+43,0677690133,-6.821629806746521,96753,31.9834136866408,57.67785264452954,0.44490343,ext
21.071333,0.0,0677631601,-4.893867661169002,10704,32.762116803761785,151.9699388065277,0.1327916,ext
33.000725,3.77308e+42,0677670134,-6.202860211778227,15904,33.141121690085484,59.61342603529829,0.42393395,ext
24.976606,6.78332e+42,0673110201,-3.656524857752257,90788,33.64999679546216,55.86105637079868,0.4623488,ext
21.330667000000002,0.0,0109130301,-0.7508955353707758,110777,33.76003432102073,56.809001924787594,0.45010352,ext
36.127990000000004,9.35214e+42,0677670131,-5.9707225297043225,26349,33.949351111968234,60.24061561909946,0.41752025,ext
20.491644,3.56218e+43,0404968001,-3.640491359732199,139578,34.057190603922784,51.92433429438381,0.51431584,ext
41.51300000000001,3.45547e+42,0760540101,-3.9457271059166534,31129,34.3997872658575,51.09867581650178,0.52699655,ext
20.04925,6.4069e+42,0112371001,-4.804559201964495,341223,34.5134862189464,51.66726831878634,0.51927185,ext
26.730928000000002,1.119e+43,0553911301,-5.673585870263064,10465,34.65520141233845,77.56787493679838,0.2975193,ext
22.612085,5.92277e+42,0404966301,-5.569451369653131,65760,34.774849381106506,57.31993491747005,0.44735345,ext
21.147607999999998,3.902e+42,0112370301,-4.924306706003351,211209,35.05905872655375,52.0578129959091,0.5136367999999999,ext
25.022371,3.041810000000001e+43,0147110201,-2.9460575270221674,145638,35.23953381136206,52.5376354003356,0.50495344,ext
35.029633000000004,2.31419e+43,0037982601,-3.5414460214932983,65029,35.27444603106735,51.96355641924697,0.51365983,ext
21.117098000000002,1.4190200000000002e+43,0404965401,-5.758786801913293,20437,35.48497083230141,85.72660511562447,0.26208878,ext
