  OBSID       RA_rm                DEC_rm                 Z                     LAMBDA_CHISQ         MEM_MATCH_ID
  0652010401   0.7456653268649802   -6.0076327721053895    0.5392811             70.28388000000001    14402         
  0305751001   1.224352597127563    -0.02093684961050863   0.2943499             22.520554999999998   46673         
  0763780701   1.5438819690276662   12.232869321429114     0.4945958             36.26529             73969         
  0600540601   1.6152282964663982   19.995305044703557     0.50555927            26.151239999999998   124208        
  0403760301   2.722693731029551    0.8167851819683991     0.3993315             29.293764000000003   26587         
  0502860101   4.75790525815637     16.026740637273527     0.538851              20.14078             64790         
  0001930101   6.678272244965682    10.625786873602708     0.51367587            36.250029999999995   55188         
  0402750201   7.741936034162848    26.434375151154036     0.5271992             28.88188             161639        
  0402750601   7.813385787031734    26.45274723143835      0.46667936            21.651022            244828        
  0084230201   9.24389357947024     9.220554170857184      0.44624546            25.617314999999998   16263         
  0203690101   9.825010279699113    0.6998107738443324     0.26358044            20.995058            30797         
  0153030101   10.12114181005785    25.515690852489033     0.57335687            28.759840000000004   246814        
  0600450701   10.22936102709764    33.168672342514625     0.51288354            28.668309999999998   102595        
  0600450701   10.248177531006661   33.23120069194479      0.564897              20.995058            116744        
  0723802201   10.395499094899689   -9.339387097692127     0.44558990000000004   32.054916            70750         
  0723802101   10.53651062547776    -9.166629623603752     0.4326528             23.313814            58252         
  0560192001   11.191331281616185   -1.660001166549674     0.44598693            31.582009999999997   34444         
  0560192001   11.335348996080684   -1.6281162467378032    0.41585454            20.949293            89086         
  0743050301   13.40819938974937    12.839063268669094     0.56766784            25.69359             167442        
  0301450401   13.74249995616543    25.500681047049103     0.5621441             43.541909999999994   72732         
  0012440101   13.97454735437458    -1.4717103320760834    0.40984884            56.798485            6172          
  0203220101   13.959587715123464   26.6008015843992       0.3780622             26.959753000000003   29424         
  0012440101   14.155163085057964   -1.1661260408331822    0.47965053            24.137583            138488        
  0742830148   15.712853314408154   0.09283533812569104    0.34265646            22.87142             38945         
  0747390152   16.50577016412609    0.3605155706525592     0.25040984            22.612085            23220         
  0762870601   16.746436129309643   1.2183839952843527     0.35644737            20.38486             40398         
  0305920101   16.904788257347132   14.131249266536825     0.51361537            21.467962            107804        
  0747390134   17.225908108076453   -0.4834400377013795    0.3713877             31.5515              10431         
