  obsid       rmid     lambda               Lx           Z                     MEM_MATCH_ID   Xreg_HiBk   Xreg_Support   Xreg_OutOTime
  780451201   34223    23.985032999999998   4.84683E42   0.37925896            34223          0.0         0.0            0.0            
  693662501   34319    23.283304            4.16611E42   0.4843084             34319          0.0         0.0            0.0            
  560192001   34444    31.582009999999997   6.34663E42   0.44598693            34444          0.0         0.0            0.0            
  414980101   34608    29.12596             1.04682E43   0.47033128            34608          0.0         0.0            0.0            
  302820101   34839    57.073074            2.80582E43   0.5554576999999999    34839          0.0         0.0            0.0            
  503610101   35265    20.552664            7.18133E41   0.35341406            35265          0.0         0.0            0.0            
  403100101   35709    20.903528            2.01978E42   0.21282214            35709          0.0         0.0            0.0            
  44740201    36184    32.573586            1.46493E43   0.45537594            36184          0.0         0.0            0.0            
  670040101   36618    21.071333            4.36543E42   0.34257236            36618          0.0         0.0            0.0            
  553560801   36883    23.588404            4.68611E43   0.48138103            36883          0.0         0.0            0.0            
  20540401    37702    26.639398999999997   3.66041E41   0.43935844            37702          0.0         0.0            0.0            
  82990101    37714    20.659449            2.92221E42   0.37977055            37714          0.0         0.0            0.0            
  404450101   37729    22.8104              3.29391E42   0.34751457            37729          0.0         0.0            0.0
  673150201   38145    23.786718            6.28466E42   0.31296507            38145          0.0         0.0            0.0            
  650590401   38237    21.940866            5.38491E42   0.3086879             38237          0.0         0.0            0.0            
  742830148   38945    22.87142             7.13041E42   0.34265646            38945          0.0         0.0            0.0            
  109661001   39064    25.63257             6.07858E42   0.37719515            39064          0.0         0.0            0.0            
  301340501   39358    42.48932             1.27328E43   0.539579              39358          0.0         0.0            0.0            
  748190101   39572    28.225915999999998   5.39067E43   0.49930465            39572          0.0         0.0            0.0            
  762870601   40398    20.38486             2.22567E42   0.35644737            40398          0.0         0.0            0.0            
  790181901   40466    33.229546            3.44257E42   0.48308307            40466          0.0         0.0            0.0            
  553440601   40522    22.230711            8.87775E42   0.43685743            40522          0.0         0.0            0.0            
  693180901   41088    20.781488            1.09862E43   0.4883452999999999    41088          0.0         0.0            0.0            
  128531401   41150    35.243202000000004   1.31412E43   0.509359              41150          0.0         0.0            0.0            
  655380901   41882    50.147316            5.13382E42   0.53576005            41882          0.0         0.0            0.0            
  411980201   42018    40.979073            2.26293E43   0.5349001999999999    42018          0.0         0.0            0.0            
  700180201   42227    39.484085            1.84824E43   0.42324024            42227          0.0         0.0            0.0            
